event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat
2020-02-06,48,2020-02-06 00:00:00,64,OK,0.0015507322107028475,0.552734375,0.0013514138567290775,0.08204013620087648,-7.7797748829734426,3.2606014232189054e-06,3.242826756740787e-06,0.000557214291039666,0.010887465019102038,3.5118450681421533e-07,0.0007396967163224965,-1.2975752352694725e-05,0.0010239123026357755
2020-02-06,54,2020-02-06 06:00:00,64,OK,0.0020596700557653303,0.4947916666666667,0.002153723772144079,0.1439375393656397,19.99999999999642,4.161616321560624e-06,3.942431960673925e-06,0.0005644300724128672,0.010887465019102038,2.0058924414429573e-06,0.0005533280925700986,1.8157788217071483e-05,0.0014076000084965634
2020-02-06,60,2020-02-06 12:00:00,75,OK,0.004998596434055971,0.5499999999999999,0.002217352095219707,0.14538334109784729,19.999999999999996,3.5622029788195658e-06,2.444262395287015e-06,0.00031558386176190313,0.011860057510328592,5.181535568408469e-05,0.0009186610513748141,2.507556820684791e-05,0.0007123509946068405
2020-02-06,66,2020-02-06 18:00:00,76,OK,0.009484196456882137,0.5307017543859649,0.0036427453666433678,0.17759116384920914,19.999999965468064,6.466495266886834e-06,3.4853345291110885e-06,0.0006083444151145906,0.01677113210526063,9.93482939520095e-05,0.00289157138790485,3.6584756988407044e-05,0.0026210010445244596
2020-02-06,72,2020-02-07 00:00:00,78,OK,0.009678438302067976,0.5459401709401709,0.0008769670431454385,6.94790628729087e-16,19.999999999999996,2.460787892489408e-05,3.689692690598887e-06,0.003973889653521527,0.027088255787429044,0.000539346920538238,0.015924085512923625,0.00020259695471050668,0.02327893709691188
2020-02-06,78,2020-02-07 06:00:00,78,OK,0.005502372117471738,0.47008547008547,0.0018428152358107852,0.00906589762583716,16.47048950372456,6.47068887707668e-06,4.506514203378502e-06,0.006650285742286633,0.027088255787429044,7.356215500237848e-05,0.008996998808526582,1.0265769932740399e-05,0.010172472582276803
2020-02-06,84,2020-02-07 12:00:00,78,OK,0.009967791435604754,0.31570512820512825,0.0027326950436762924,0.024717136077588946,1.0537979754970241,3.276498559812959e-06,3.246575269873218e-06,0.009522968474192208,0.027088255787429044,1.0851101564748376e-06,0.0007822931160584391,6.184318717619608e-05,0.0035674365957693243
2020-02-06,90,2020-02-07 18:00:00,78,OK,0.016248631977746505,0.15544871794871795,0.004027378257915555,0.025176390789292083,-1.2267433447612013,3.0632782609553404e-06,2.5666133386316634e-06,0.00495965722749548,0.027088255787429044,3.806937989632923e-05,0.0015489594578475215,5.166605210689734e-05,0.0025156269451694913
2020-02-06,96,2020-02-08 00:00:00,78,OK,0.02679643570260857,0.043269230769230775,1.7006663987500798e-16,0.031024607089786743,1.3997931790926568,6.56680642224961e-06,6.361207299458076e-06,0.0004711094307718021,0.0230978154545567,1.0067648971244232e-05,0.0002812532293712428,9.970804354825244e-05,0.0029682516251416406
2020-02-06,102,2020-02-08 06:00:00,78,OK,0.020483967294940196,0.03739316239316239,1.339519378723098e-16,0.03630060465260052,14.240352924700383,1.3379442974652212e-05,1.7677377361909972e-06,0.0005551585860757825,0.02007944134044612,9.75804192226288e-05,0.004015394077093642,4.190356220347788e-05,0.003759736985037663
