variant,model,seed,group,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,ASYM,5103.0,1635,28,3.172178644759452e-05,1.8728848637909715e-05,2.9232374077607514e-05,3.615235217308864e-05,0.0
raw,ASYM,5103.0,1926,36,0.00013293415594450058,6.268297547260792e-05,0.00013295140578478912,0.00014547865898695,0.0
raw,ASYM,5103.0,1962,37,1.810350481739548e-05,1.5569359228984998e-05,2.017030410005848e-05,1.631920572499415e-05,0.0
raw,ASYM,5103.0,2001,37,0.00010715438814173545,0.00010695151465798286,0.00010658553298271961,0.00010858187273001515,0.0
raw,ASYM,5103.0,2055,38,0.00023853187233687268,0.00022271698803705877,0.00023596488845524643,0.000245726122744558,0.0
raw,ASYM,5103.0,2075,38,7.541269035495082e-05,5.424862121424647e-05,7.54760780505422e-05,7.903733145493511e-05,0.0
raw,ASYM,5103.0,2242,41,5.116614412551783e-05,3.0215382528944628e-05,5.058395379243611e-05,5.555948683728252e-05,0.0
raw,ASYM,5103.0,2512,42,0.0001178305517044619,8.466841742823108e-05,0.00012081881519269942,0.00011648905584179506,0.0
raw,ASYM,5103.0,2543,43,4.701499124574574e-05,3.67022970317978e-05,4.793553175396614e-05,4.697630072058059e-05,0.0
raw,ASYM,5104.0,42,2,0.0001872867219591052,0.00013528930579122985,0.00018504652141815514,0.000201300405712575,0.0
raw,ASYM,5104.0,46,2,0.00022324872569692194,0.00011825070174366628,0.00021257291094903787,0.00024888895638654196,0.0
raw,ASYM,5104.0,117,3,4.1376641363450045e-05,3.67520601320985e-05,4.129262394801371e-05,4.252361519869223e-05,0.0
raw,ASYM,5104.0,199,4,1.64456158861063e-05,1.394640823153481e-05,1.6198475173568742e-05,1.733481510144323e-05,0.0
raw,ASYM,5104.0,250,4,4.454710253319149e-06,2.6847895915311203e-06,4.448677800787826e-06,4.7637302647296845e-06,0.0
raw,ASYM,5104.0,492,7,0.0011867392026712596,0.0008687317889597988,0.0012057423915030016,0.0012155105132307042,0.0
raw,ASYM,5104.0,1087,22,3.489956580517749e-05,2.7854555162078016e-05,3.548008764547255e-05,3.483290060756457e-05,0.0
raw,ASYM,5104.0,1113,22,4.7888477979055776e-05,4.0744342518451164e-05,4.901414455218388e-05,4.4410218185721094e-05,0.0
raw,ASYM,5104.0,1219,23,1.0269516895656712e-05,7.425253755980394e-06,1.009730324723973e-05,1.074184618579608e-05,0.0
raw,ASYM,5104.0,1231,23,2.383139142783796e-05,1.3069430928830009e-05,2.3743328584469397e-05,2.5251383183964098e-05,0.0
raw,ASYM,5104.0,1319,25,0.0006153353547272289,0.0003940133181360866,0.0006042562528563177,0.000642829965215679,0.0
raw,ASYM,5104.0,1348,25,0.00032693404594789173,0.00027160710605968945,0.0003362997263343631,0.0003248113129328492,0.0
raw,ASYM,5104.0,1389,26,5.1230816247329265e-05,2.7869140260189738e-05,4.9798686759975426e-05,5.564976207621727e-05,0.0
