seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,4,2117,2022-06-08,46013,0.0023004569,0.0022994414903223515,0.51,4.5169640543463174e-06,0.00229434110224247,0.0023079633247107267
0,4,2118,2022-06-08,46015,0.0022545713,0.002234038198366761,0.825,2.1148658561287448e-05,0.002186277648434043,0.0022753924131393433
0,4,2123,2022-06-08,46033,0.0024104347,0.002410717075690627,0.48,5.314760528563056e-06,0.0023991146590560675,0.002422894351184368
0,4,2127,2022-06-08,46049,0.004081451,0.0040831188671290874,0.435,8.238065674959216e-06,0.0040644388645887375,0.004094280768185854
0,4,2130,2022-06-08,46059,0.0029230816,0.0029128878377377987,0.81,1.4655577615485527e-05,0.002872308949008584,0.0029407450929284096
0,4,2138,2022-06-08,46081,0.0019534058,0.001961094792932272,0.425,2.7708252673619427e-05,0.0019178926013410091,0.0020142190624028444
0,4,2147,2022-06-08,46117,0.0023210535,0.0023226107005029917,0.355,1.3244750334706623e-05,0.0022927767131477594,0.0023478635121136904
0,4,2152,2022-06-08,48011,0.002840292,0.002834825310856104,0.675,1.297624476137571e-05,0.0028014536947011948,0.0028487429954111576
0,4,2153,2022-06-08,48045,0.03119145,0.031195787712931633,0.1,4.282349891582271e-06,0.031189801171422005,0.031204041093587875
0,4,2155,2022-06-08,48069,0.0042116563,0.004211734980344772,0.485,4.688949047704227e-06,0.004200683906674385,0.004221139010041952
0,4,2159,2022-06-08,48107,0.002666712,0.0026657190173864365,0.53,1.277917908737436e-05,0.002650841139256954,0.0026972938794642687
0,4,2163,2022-06-08,48153,0.0028238576,0.0028310229536145926,0.265,9.048942956724204e-06,0.0028073471039533615,0.002843955298885703
0,4,2166,2022-06-08,48189,0.002912986,0.0029128273017704487,0.505,8.351471478817984e-06,0.0028905465733259916,0.002927190624177456
0,4,2170,2022-06-08,48219,0.0027652918,0.002755928784608841,0.6,2.4842565835569985e-05,0.0027434297371655703,0.002815613290295005
0,4,2172,2022-06-08,48263,0.002551238,0.002552715130150318,0.445,1.0891956662817392e-05,0.002536759013310075,0.0025789346545934677
0,4,2176,2022-06-08,48341,0.0041746967,0.004262509290128946,0.07,7.982137321960181e-05,0.004145334474742413,0.004418643657118082
